ogr_DogID,foodtype,exercisetype,status
19687, health,walks  fetch,0.0
19687,fromm,jogging  fetch  puppy play dates,0.0
19684,iams proactive health  smart puppy large breed,backyard running and ball fetching,0.0
19684,iams,playing  chasing balls  toys  walks,0.0
19683,science diet,yard running w  our dog,0.0
19683,iams  lamb & rice,walk runn chase fetch,0.0
19678,iams,walks playing in yard,0.0
19678,iams chicken,walks playing in yard,0.0
19677,iams smart puppy,walk to either main st   around boces parking lot  or plays with toys ,0.0
19677,iams minichunks,walks  fetch  tug,0.0
19677,iam,walks  mall walks  backyard fetch  playdates,0.0
19652,iams lamb and rice,walking  fetch,0.0
19652,iams puppy,walk play,0.0
19643,iams,walking training puppy play dates playing ball,0.0
19643,iams,walking playing ball training sometime get over excited especially when getting up in the morning,0.0
19643,iams lamb rice,walking ball endurance,0.0
19632,iams,walkling playing,0.0
19632,iams puppy,walking observing world,0.0
19632,iams,walks  play  other dog,0.0
19630,  health lamb and rice,playing ball  frisbee  walks,0.0
19630,  health puppy,plays in fenced yard  walks  snow frisbee,0.0
19630,  health salmon and potato,daily walks  fetch,0.0
19619,kirkland natures domain  grain free ,longlong walks  jogging  occasional play dates  fetches,0.0
19619,kirkland natures domain  grain free ,walking jogging swimming fetching tug of war,0.0
19619,kirkland nature s domain,walking jogging  swimming  fetching  tug of war,0.0
19573,science diet,walks  outtings  and playing ball ,0.0
19573,science diet puppy,fetch  walks  inside play  x day tug,0.0
19573,iams,walks  play  human dog ,0.0
19570,iams adult large breed,walking and playing   fetching toys ,0.0
19570,iams lamb & rice,walking  playing with other dogs  running in the bda,0.0
19568,hills science diet large breed puppy,short walks  playing in snow,0.0
19568,hill s science diet,walks,0.0
19568,hill s science diet large breed adult,walks  back yard and indoor play,0.0
19566,science diet chicken adult,walk  play ball  play tug,0.0
19566,science diet  large breed puppy chicken,walking  chase & retrieve  ball  play tug,0.0
19566,iams lamb and rice,walks  puppy play,0.0
19562,iams lamb & rice,walks outside  runs plays in enclosed porch,0.0
19562,iams lamb & rice,walking running playing stairs,0.0
19562,iams  lamb & rice,walking   outside play,0.0
19552,iams large breed puppy chow,at least       mile walks a day  plus fetch inside,0.0
19548,iams,tug  fetch  walks  rough housing  helping with energy management ,0.0
19548,iams,walks  tug of war  fetch  keeper in the middle,0.0
19537,iams lamb & rice,yard play  walking  tug games ,0.0
19537,iams puppy food,walks  playing with toys  balls  etc ,0.0
19537,iams lamb & rice,walks  hikes  outdoor fetch  playing with other dogs outside ,0.0
19536,iams,two walks most days of       min  daily play time with my dogs  play dates with other geb dogs about once a week  trips to other places    to   times per week,0.0
19536,iams,short and longer walks  visits to training sites  play sessions  supervised ,0.0
19536,low res to canidae,short walks  play time with me  play time with my dogs ,0.0
19535,taste of the wild grain free,walking  outings,0.0
19535,iams low residue,outdoor on     lead  indoor toys  walks,0.0
19535,taste of the wild grain free,walking,0.0
19533,iams puppy,play time with other dog,0.0
19530,iams, walk per day  except when too cold,0.0
19530,iams,walk &  running around the yard,0.0
19530,iams,walking  running  hiking,0.0
19521,iams puppy       mo formula ,walking hiking,0.0
19521,iams puppy       mo formula ,walks  catching frisbees  chasing after tennis balls or playing with our other dog,0.0
19521,natures variety,lots of walks and play time,0.0
19517,iams,walking  playing,0.0
19517,iams,walking  running  fetching,0.0
19517,iams,walks and playing in fenced in backyard,0.0
19517,iams,walks  runs  playing,0.0
19505,iams lamb and rice,walking  playing in yard,0.0
19505,iams,walking,0.0
19498,iams puppy chow,walking  retrieving balls  beach,0.0
19498,iams puppy chow,walking  playing,0.0
19498,iams lamb and rice,walk  run  swim,0.0
19489,iams,long line walks  fetch  swimming,0.0
19489,iams puppy, walk  fetch  play,0.0
19489,iams,walks  fetch  water play,0.0
19483,half low res hills  half iams puppy,walks x  per day  play with    year old lab that lives in home,0.0
19483,purina,walk  play ball,0.0
19483,purina,walking  playing in fenced in park on slides etc ,0.0
19475,chicken soup for the soul,walking and back yard,0.0
19475,chicken soup puppy and iams,walk  play in fenced yard,0.0
19473,iiams adult minichunks,  mile work once a day  run play in fenced in area  x day,0.0
19473,iams puppy chow,walking       minutes in the morning     minute walk in afternoon  play exercise outside twice a day for       minutes  energetic run in fenced in area once a day for    minutes  weekly playdate with other geb pups,0.0
19471,iams smart puppy,walking on street,0.0
19471,iams lamb and rice,walks  chase ball  play with other dogs,0.0
19471,canidae lamb and rice,walking  running on beach  retrieving ball,0.0
19445,blue seal adult,walks fetch swimming,0.0
19445,iams puppy,walking   playing in fenced area,0.0
19445,blue seal,walking  playing ball  tug of war,0.0
19440,kirkland signature lamb,play time walks,0.0
19440,nature s recipe pure essentials,walking toy play play dates,0.0
19440,iams puppy chow,long walks  play time and puppy dates ,0.0
19418,iams adult dog food  lamb and rice ,walking  play with dog  play fetch with toys,0.0
19418,iams adult dog food,walking  fetching ball for play  swimming  play with other dogs,0.0
19418,iams puppy chow,running  walking  fetch and ball play,0.0
19409,low res transitioning to iams puppy chow,back yard romps frolicking with our own lab and walks,0.0
19409,purina one,backyard  walking,0.0
19409,iams lamb & rice,walking & fetch,0.0
19403,iams puppy,walks  playing in my large fenced yard,0.0
19403,iams,walks  fetch  outings  plays with other family and friends dogs,0.0
19403,iams adult,plays in yard  fetch and with other dogs nicely ,0.0
19396,iams,walking  ball playing,0.0
19396,iams,walking,0.0
19396,iams puppy,vanda gets a good amount anywhere from      short walks a day plus usually one outing lasting         minutes,0.0
19361,iams,very energetic after swimming! also leash walks and fetch,0.0
19361,iams,walks  fetch  tug of war  occasional hike  name response,0.0
19360,imas lamb and rice,walks  play with ball  frisbee  toys and other dogs,0.0
19360,iams lamb and rince,walking  training  play ball in back yard  play with other dog,0.0
19360,iams puppy,walks  fetch  tug  dog dog play,0.0
19357,iams,fetch  running  walks,0.0
19357,iams,fetch  plays with other dogs,0.0
19357,iams,fetch  walks  running,0.0
19356,iams adult lamb and rice,walks  fetches  hikes  swam once,0.0
19356,iams,chase ball  walks  hikes  gentle tug,0.0
19356,iams lamb and rice adult,walk hike  ball toss fetch frisbee  gentle tug,0.0
19353,iams puppy,walks  tug  fetch  other dogs,0.0
19353,euka nuva large breed puppy food,walks  indoor play  outdoor play  training,0.0
19353,nutromax,walking  playing,0.0
19342,iams puppy chow,plays with my other dogs  ball  walks at the rec,0.0
19342,great life duck,  play dates a week  daily frisbee chasing  walks,0.0
19342,evangers fish and sweet pot until july  ,walks  outings  frisbee,0.0
19337,iams,walks     miles per day  play in yard on long leash  practices on stairs,0.0
19337,iams,walks  ball  tug,0.0
19337,iams,walks  ball toss,0.0
19336,iams,walk  chase  tug,0.0
19336,iams smart puppy,walk  play,0.0
19336,rams green  chicken ,very low energy compared to other dogs i have raised ,0.0
19333,transitioning to iams lamb from iams puppy,walking chasing ball sometimes puppy playgroup,0.0
19333,iams chicken,walking    miles  frisbee  ball,0.0
19333,iams chicken,walking  frisbee  ball playing,0.0
19333,iams  green bag  main ingredient chicken seems to agree better than lamb and rice,walking     miles day  ball and frisbee  and tug of war,0.0
19332,iams,walking and playing,0.0
19332,iams puppy,i enjoy nalani tremendously  she is a good fit for our lifestyle   nalani entertains herself with her comfort toys and bones when she wakes up in her crate and waits patiently for us to get up and or let her out   she is walking very well on the lead  las,0.0
19332,iams,walking  playing,0.0
19311,iams puppy,play  chasing a ball  walking,0.0
19311,iams smart puppy large breed,walking,0.0
19311,iams,walk  run  ball,0.0
19309,    low residue      iams puppy,neighborhood walks     times daily  excursions   times weekly,0.0
19309,iams adult chunks,daily walks,0.0
19308,low residue   iams & iams puppy chow,walking & playing,0.0
19308,iams lamb & rice,walking,0.0
19308,iams lamb & rice,walking  + miles a day,0.0
19304,purina puppy  chow,walks  play with other dogs,0.0
19300,iam s low residue blue buffalo puppy chow,walking  x day ,0.0
19300,blue buffalo,walking,0.0
19300,blue buffalo,    walks per day  longest about       miles ,0.0
19270,iams puppy chow,several walks daily  occasional run in back yard,0.0
19264,science diet lamb and rice,walks  play,0.0
19264,science diet,daily walk and play time in house,0.0
19264,science diet lamb and rice,walks at least daily  running in fenced yard,0.0
19262,iams,walking running hiking,0.0
19262,iams,walks  hikes and runs at the park,0.0
19256,iams,high energy  running  fetching  play w  other dogs,0.0
19256,iams,walks  fetch,0.0
19250,iams adult,walking running,0.0
19250,iams low res iams puppy chow,dog walks,0.0
19250,rams adult lamb & rice,mainly walking      miles day,0.0
19244,iams adult,walks  romping in fenced in yard with other family dogs,0.0
19244,iams puppy,daily walks  running in backyard with other dogs,0.0
19243,iams,short walks,0.0
19243,iams,walking  fetch,0.0
19243,iams,walk  frisbee,0.0
19229,iams,play rope outside in morning apprx    min   he comes to work with me everyday   we walk at lunch a minimum of         mins   walks at night with us  does a lot of walking at work  weekends he gets more exercise,0.0
19229,iams,walk  ball  retrieve  tug of war  run around yard,0.0
19229,iam,walk  ball  retrieve  tug of war  run around yard,0.0
19197,iams lamb and rice,fetch  walks  running in back yard,0.0
19197,iams lamb and rice,walks  runs  fetch,0.0
19172,iams large breed,walks  running on a long line  playing with other dogs,0.0
19154,diamond,walking  retrieving  playing with dogs kids,0.0
19154,diamond,just walking,0.0
19150,blue buffalo,fetch in the yard  walking,0.0
19150,blue buffalo,walking running for fetch,0.0
19134,iams,playing with the frisbee  walking on the street  and our outings once a day,0.0
19125,kibbles n bits,playing  running,0.0
19116,iams,walks  ball frisbee playing  playing with other dogs,0.0
19116,iams,walking  retrieving  playing with our other dogs,0.0
19110,iams,walks and plays fetch with toys,0.0
19110,iams lamb and rice,walks  runs  and fetch with toys,0.0
19108,iams,walking soccer play dates,1.0
19108,iams,play dates & walks,1.0
19106,iams,walks  chase and retrieve ball,0.0
19106,iams,walks  chase and retrieve ball,0.0
19064,iams dog food,two walks a day and frisbee play,1.0
19064,iams,walks and frisbee,1.0
19024,hills pet nutrition,walking  playing in yard,0.0
19024,hill s pet nutrition,walks and playing outside,0.0
19001,iam s lamb and rice,walks and fetch and go run,0.0
19001,iam s,walking  playing  running,0.0
19000,u s  grain s regal active bites,tug o war  plays with other family dogs and walks,0.0
19000,u s  grain s regal active bites  all natural dog food ,tug  chase balls or other dogs in yard  walks,0.0
18995,eukanuba,walking running playing,0.0
18995,eukanuba excel,walking  hiking  playing  swimming,0.0
18985,iams,walks  fetch  playing with other dogs,0.0
18985,iams,walks  fetch  playing with other dogs,0.0
18984,california natural lamb & rice,walks  toys tug of war  puppy playdates,0.0
18984,california natural grain free lamb,puppy play  h      times per week        min walks each day     h hikes or socialization adventure  metro to smithsonian or shops  each weekend ,0.0
18970,iams,fetch and walking,0.0
18970,iams lamb and rice,fetch and going for walks,0.0
18966,fromm adult gold,walks and retrieving balls,1.0
18966,fromm adult gold,walks and long line in fields,1.0
18963,nutrisource chicken and rice,running  swimming  fetch  training  exposures,1.0
18910,iams,fetch and walks,0.0
18910,iams,walking and fetch,0.0
18910,iams puppy chow,walk  play with dogs  play toys,0.0
18907,iams lamb and rice,walking  playing with my other dog,1.0
18898,iams puppy smart health,walking   miles per day and plays in the back yard most days,0.0
18898,iams large breed,daily walks & playing in back yard,0.0
18891,iams,walks  runs in backyard  much playtime,0.0
18891,iams,plays in backyard with family dog,0.0
18888,imas,walk  puppy play ball,1.0
18887,purina pro plan large breed formula,walking  slow jogging  playing with toys with me and playing with mellow lab,0.0
18876,iams puppy chow,walks runs plays,0.0
18876,iams,walking  running  swimming when warm enough,0.0
18873,natural balance limited ingredent,walking in stores  playing with humans,0.0
18872,iams puppy chow,daily walks  plays with our dogs and kids,0.0
18872,iams mini chunck,frequent walks  plays with other dogs indoors and out,0.0
18871,iams,mostly play with people  walks often  sometimes plays with other dogs,0.0
18867,hills science,walking  running,0.0
18867,hills science puppy,running around at park  chasing ball  follow me,0.0
18864,iams weight control,walks,1.0
18864,iams puppy,walks playing in yard with other dogs and play with kids,1.0
18863,iams adult lamb and rice,walking  playing tugs with other dog  play groups  errands,0.0
18862,iams healthy naturals,before secret went into heat  we d go on   long walks practically every day  we d go to a friend s fenced in backyard  x week and secret would run w manny and   other dogs  we would play catch in our backyard on the long leashseveral times week now it s t,0.0
18853,iams,jogging  ball frisbee play  walking,1.0
18853,iams,jog     mi  day & play exercise,1.0
18846,i am,daily walk  play outside  play inside,0.0
18845,iams proactive health lamb and rice,walks  playing with other dogs  fetch,1.0
18845,iams puppy chow,walks  playing with other dogs,1.0
18812,iams puppy chow,walks  playing with other dogs  playing with people in the house ,1.0
18812,iams lamb and rice,walks  puppy play  fetch,1.0
18806,iams low residue and iams smart puppy,chases toy on tennis court every day   x daily walks  food puzzle toy every morning,0.0
18804,nutro,walks  fetch  playing with our other dog,0.0
18804,nutro natural choice,walks house play play with family dog,0.0
18791,iams puppy food,plays fetch and walk,0.0
18791,iams,two walks a day,0.0
18610,purina lamb and rice formula,walking  running,1.0
18610,iams lamb and rice,walking  playing,1.0
18610,purina lamb and rice formula,walking  running,1.0
18610,iams lamb and rice,walking  playing,1.0
18557,iams puppy chow  ?,running walks playing toys ,0.0
18557,iams rice and lamb,daily walks play with and with out other dogs,0.0
18549,earthborn coastal grain free mixed with natural balance alpha dog lamb,  mile walks  daily running horse play with other dogs in fenced in yard  outings,1.0
18549,taste of wild puppy   bison,free exercise in fenced in yard with   other dogs  plus normal dog play indoors,1.0
18546,purina one,walk  fetch  tug  running around lawn,0.0
18546,purina puppy chow,walks  long line in field  tug of war  fetch,0.0
18540,iams puppy chow,walking and playing,0.0
18540,iams adult large breed   green bag,mostly long walks  some play date runs with another puppy  some swimming for short periods during long walks ,0.0
18530,iams puppy chow,walking and exercising   training,0.0
18530,iams,walking  training  sidewalks  cross walks,0.0
18528,iams,walking  fetch  play dates,0.0
18528,iams,walking  running  jumping,0.0
18525,iams puppy chow,short walks  ball play,0.0
18525,purina one,walks  playtime,0.0
18518,science diet puppy for regular sized dogs,runs around in the back yard with us there playing with a standard poodle  daily walks to neighbors and mail box ,1.0
18518,science diet small bite lamb and rice,walks and plays in yard with poddle,1.0
18498,iams,backyard play with my pet dog  walks,1.0
18497,iams lamb and rice,she plays with other dogs daily and is always the leader of play  she lives on a college campus so is always moving around,1.0
18497,iams lamb and rice,walks stairs around campus etc,1.0
18495,iams puppy,walking light jogging playing fetch indoors,0.0
18495,purina pro plan large breed,runing  playing  walking,0.0
18494,iams puppy,fetch  walks  tug ,0.0
18494,taste of the wild,walk  swim  fetch  play w other dogs,0.0
18485,jeni s homemade,playing with our other dog  playing with us  walks  playing in the backyard,1.0
18472,iams,walk and play,0.0
18472,iams,walks and play,0.0
18472,iams,        hour daily pack walk  backyard playtime,0.0
18469,iams,walks training playing,0.0
18469,iams,walks  plays fetch  plays outside,0.0
18430,pedigree puppy,lots !  of energy ,0.0
18430,iams lamb and rice,walking  toy playing  other dogs,0.0
18429,canidae   lg brd puppy,walking and ball play on occasion,0.0
18429,natural balance,walks  short runs  playing on long leash  hikes,0.0
18409,iams,outdoor walking and play  also  indoor play ,0.0
18409,iams and pedigree,walking and playing on long leash,0.0
18343,iams   puppy food,walks  play fetch  play dates ,1.0
18341,iams,playing in fenced yard  tugging  playing with our other dog  walks,0.0
18341,iams,playing with toys  running around outside on long lead  chasing balls,0.0
18336,iam s puppy chow,walks  running and chasing toys,1.0
18336,blue mt chick rice weight control,walks  fetch  run in yard,1.0
18168,iams large breed proactive health,walks  play time in yard,1.0
18168,iams puppy chow,walks  backyard play,1.0
18061,iams,fetch  walks  running around yard,1.0
18061,iams puppy chow,walks  playing ball  and running aroud the yard,1.0
18059,iams,walks  tug of war  hide and seek,1.0
18059,iams,walks   romps in snow  friendly play with other dog  lots of tug and hide& seek,1.0
18050,iams,walking free play with my other dog,0.0
18050,iams puppy,walking plays with my   year old dog,0.0
18044,iams,walks running around fenced in area  playing fetch  playing with tug toys  fast walking up and down driveway on leash,0.0
18044,iams puppy chow,walks around village neighborhood  playing in yard  fetch,0.0
18043,iam s smart puppy,walks  fenced backyard fun  tug a war  fetch,1.0
18043,iams,fenced yard  walks  shopping,1.0
18042,iam a proactive health smart puppy,walking  playing on run,1.0
18042,iams adult,walks playing in yard,1.0
18039,iams,walks and play,1.0
18033,iams smart puppy,walking  playing,0.0
18033,iams,play & walks,0.0
18033,iams,walks and running playing in yard,0.0
18031,iams,walks  tug,1.0
18028,iams smart puppy,walks  playing with other dog  likes to fetch balls and toys,1.0
18028,iams,walking  playing  running,1.0
18028,iams,walking  playing,1.0
18025,iams,walking and running with my dog ,0.0
18025,iams smart puppy chow,walking  running  playing with dogs and humans,0.0
17991,iams,walks around neighborhood   daily when weather is good  and indoor outdoor play,0.0
17991,iams,play time and walking,0.0
17989,iams,walks  running around at the park  playing in the backyard with other dogs,0.0
17989,iams puppy,walks  playing in the yard with our other dogs  playing tug of war  fetch  etc,0.0
17978,purina one,tug  walks  play dates  fetch,0.0
17978,purina one,fetch and play dates ,0.0
17972,iams proactive health smart puppy large breed,walk   playing fetch with a toy ball,1.0
17972,iams healthy naturals adult chicken and rice,walking  playing with ball fetch,1.0
17947,iams,walks  tug toys  fetch  play at the beach,1.0
17947,iams,walks  running  tugging play,1.0
17944,iams smart puppy,walking  playing with toys indoors,1.0
17944,iams,fetch  walks  puppy play  tug,1.0
17933,iams puppy adult  i am currently switching him over ,playing with toys and daily walks twice a day,0.0
17933,iams,walking  playing fetch,0.0
17932,iams smart puppy,fetch  running  walks  toys,0.0
17932,iams lamb and rice,walks  playing ,0.0
17932,iams lamb and rice,walks  fetch ,0.0
17926,purina pro plan,walking  running  fetch  other play,0.0
17926,iams puppy,walk  run  fetch  play ball,0.0
17889,iams,plays fetch in the morning for about half an hour  walkes with us while we are outside working  we go to parks or into town at least twice a week for a couple of hours  we sit outside in the evenings and have him fetch his toys and do somemore sits  downs,0.0
17889,iams large breed adult,waks outside when it isn t too cold  fetch in the house  store walks almost every day,0.0
17888,iams,mainly walks through nature trails on a long lead during the day and outings during the evenings,1.0
17888,iams,walks on a long line through nature trails and outings,1.0
17875,iams puppy,  one mile walks per day plus other walking  play time inside and in fenced yard,1.0
17875,iams adult  lamb & rice ,  long walk &   short walk day plus play,1.0
17864,blue seal natural   ,walking playing,1.0
17864,blue seal puppy chow,walking,1.0
17864,blue seal natural   ,walking playing,1.0
17863,iams lamb and rice,walks  fetch  outings,1.0
17863,imas lamb and rice,walking  playing in yard and outings,1.0
17847,iams adult,yard play and walking,0.0
17847,iams,walks  yard play,0.0
17845,iams,walks  swimming and some free exercise,0.0
17845,iam s,walking playing with balls and other toys,0.0
17839,iams,walking  running  playing fetch  playing tug,0.0
17839,iams puppy  transitioning to adult,walking  playing fetch  swimming  tug  playing in the house  playing with other dog,0.0
17839,iams,walking  running  playing fetch  playing tug,0.0
17801,iams low residue and purina puppy chow,play walk training,1.0
17801,purina one,walking playing hiking swimming,1.0
17801,natures balance,running,1.0
17801,iams low residue and purina puppy chow,play walk training,1.0
17801,purina one,walking playing hiking swimming,1.0
17796,purina one beyond lamb & rice,walking  playing tug  fetching sticks ball,1.0
17796,iams adult lamb and rice,walking  playing  fetch  hide seek ,1.0
17796,hills large breed puppy,walks  ball play  toy play  kiddie pool,1.0
17794,iams,walks  ball throwing  running around yard,0.0
17794,iams,walks  play  running in yard,0.0
17794,iams,play  walks  retrieving  kiddie pool,0.0
17787,diamond naturals,walks and playing fetch,1.0
17787,diamond naturals lamb and rice large breed puppy,  walks a day     one mile and   half mile ,1.0
17787,diamond naturals,walks  runs  playing,1.0
17786,iams adult lamb and rice,walks and playtime,1.0
17786,iams puppy,walks and playtime,1.0
17786,iams lamb meal & rice proactive health,      min walks  tug of war  wrestle w dog housemate in yard usually   hour per day broken up throughout the morning and after work,1.0
17778,honest kitchen mornings  taste of the wild evenings,walks  play in backyard,0.0
17778,honest kitchen  taste of the wild,plays with other dog  sometimes outside  and takes daily walks ,0.0
17776,iams lamb & rice,walking& playing,0.0
17776,iams,walking  fetching  playing with toys,0.0
17695,iams lamb and rice,walking  chasing tennis balls  playing with other dog,0.0
17695,iams lamb and rice,walking  playing with other dog,0.0
17695,iams puppy,walking  playing with toys  playing with other dogs,0.0
17680,iams,walking,1.0
17680,iams lamb and rice,walking  running,1.0
17680,iams puppy chow,walks,1.0
17676,mix of iams puppy and kirkland all natural puppy,walks  playing fetch  tug  hide and seek  playing at camp,0.0
17676,iams,walks  playing fetch  tug  hide and seek  playing at camp,0.0
17676,iams,walks  playing in yard  playing with other dog,0.0
17673,iams,walks  play,1.0
17673,iams,walks  play,1.0
17673,iams,supervised walk  free play  interactive play,1.0
17671,purina pro plan puppy chicken,walking playing training up & down stairs,1.0
17671,blue chicken  adult & iams healthy naturals with chicken,walks   miles a day  play time throughout day,1.0
17671,southern states naturals chicken  rice and pearled barley,walk  fetch  play in house,1.0
17670,iams healthy choice dog food, +miles walks daily  plus on leash runs in ballfield,0.0
17670,iams, + miles per day leash walking,0.0
17670,iams smart puppy,outdoor walks  ball catch retrieve,0.0
17669,iams puppy,runs after a ball  plays with toys  my daughter has her runs outside,0.0
17669,iams,running in back yard,0.0
17665,iams,playing with pet dog  walks,0.0
17664,iams puppy,walks  playing fetch  running around,0.0
17664,iams,walks  fetch,0.0
17641,iams proactive health,walking  hiking  swimming  playing fetch & tug,1.0
17641,regal puppy bites,walking  hiking  fetch  water play,1.0
17641,iams lam and rice,walks  play with other dogs and fetch,1.0
17638,iams adult,walking and playing fetch,1.0
17638,iams,walking   fetch,1.0
17638,iams,walks  interactive play with toys  running on long leash,1.0
17635,iams puppy,walks  ball throws,1.0
17549,iams lamb and rice,running in back yard  playing with other dog  playing in the creek  going on long walks,1.0
17549,iams puppy chow,running in the backyard  walks  hiking  playing with other dogs,1.0
17547,iams� proactive health� smart puppy original,walks  fetch  with ball   some running jogging,1.0
17547,iams puppy,daily walks   morning afternoon night  play with toys,1.0
17547,iams,walks  fetch with appropriate toys,1.0
17534,eukanuba large breed puppy,walking  play time with toys and other dog,1.0
17534,iams lamb & rice,walking playing,1.0
17534,iams lamb & rice,walking & running playing,1.0
17533,taste of the wild,walks on outings  runs in the yard,1.0
17533,origin,running around the back yard  going on walks,1.0
17533,wild,walks  playing in the backyard  fetch,1.0
17531,eukanuba low residue,walks,1.0
17507,science diet lamb and rice,walks  chasing frisbee returning,1.0
17507,science diet  puppy,walking  toys,1.0
17504,iams proactive health lamb meal & rice,walk  run  fetch,1.0
17504,iams smart puppy large breed  i just bought some iam s regular smart puppy for treat portion ,can get frantic with leash  doesn t like corrected   will bark  jump at me  bite,1.0
17504,iams proactive health lamb meal & rice,walk  run  fetch,1.0
17498,iams adult,walks  treadmill  fetch,1.0
17498,royal canin large breed puppy,walks  tug of war  fetch,1.0
17498,science diet adult,fetch  walks  playing with the kids,1.0
17497,iams puppy,walking  fetch  and training,1.0
17497,iams lamb and rice,walks  play  fetch,1.0
17497,iams lamb and rice,walks and play,1.0
17495,purina pro plan,puppy play  walks  catch,0.0
17495,iams,brief walks  tug,0.0
17495,purina pro plan,walking  ball chaising,0.0
17495,iams,brief walks  tug,0.0
17495,purina pro plan,puppy play  walks  catch,0.0
17495,purina pro plan,walking  ball chaising,0.0
17485,iams lamb and rice,walks  play inside,0.0
17485,iams lamb and rice,walks outside,0.0
