ogr_DogID,foodtype,exercisetype,age,sex,earcleaning,attendsclasses,behaveswellclass,attendshomeswitches,status
20060,iams puppy,walk follow me,4.0,1.0,5.0,5.0,1.0,1.0,0.0
20059,iams,playing with kids,4.0,0.0,1.0,3.0,3.0,1.0,0.0
20058,iams low res,running  dog play,4.0,0.0,3.0,4.0,4.0,3.0,0.0
20043,iams    mo  chicken puppy food,outdoor walks    min   backyardplay       min   indoor toy play        minutes  throughout the day,4.0,1.0,1.0,5.0,4.0,1.0,0.0
20017,iams,walks  training  play in yard,8.0,1.0,5.0,5.0,4.0,5.0,0.0
20017,iams,walks  swimming  fenced in yard,8.0,1.0,5.0,5.0,4.0,5.0,0.0
20016,california naturals chicken & brown rice,walking,7.0,1.0,4.0,5.0,4.0,5.0,0.0
20014,fromm s large breed puppy,walks & dog pack play,3.0,0.0,5.0,5.0,5.0,1.0,0.0
19984,iams lamb & rice,walks  frisbee or ball  water pond,8.0,1.0,5.0,5.0,5.0,5.0,0.0
19984,iams puppy,walks in town and woods and plays with our other two labs   some evenings we also go to a pond   yani is a water lover ,8.0,1.0,5.0,5.0,5.0,5.0,0.0
19980,iams adult large breed,  mile walks in a m   afternoon walks rides in car to metro school events ,8.0,0.0,5.0,5.0,4.0,5.0,0.0
19980,iams large puppy,  quarter mile walks day and playtime in fenced yard with family dog for    min ,8.0,0.0,5.0,5.0,4.0,5.0,0.0
19966,iams  proactive health  adult,walking     fetching,7.0,0.0,5.0,5.0,4.0,5.0,0.0
19965,iams large breed chicken and rice,walking outdoor play,8.0,0.0,5.0,5.0,2.0,5.0,0.0
19963,iams,playing inside and outside with family and family pets  including fetching  walking  running within fenced yard ,4.0,0.0,3.0,5.0,4.0,1.0,0.0
19946,iams,plays fetch  plays with dogs  walks,8.0,0.0,5.0,4.0,4.0,5.0,0.0
19931,science diet puppy,walks on leash and plays with our dog,3.0,1.0,3.0,5.0,4.0,1.0,0.0
19931,iams lamb rice,walks  hikes  playing in fenced yard with our dog  ball chasing,3.0,1.0,3.0,5.0,4.0,1.0,0.0
19899,iams,walks  tug  fetch  swimming  not recently   hiking  jumping on rocks,8.0,0.0,5.0,5.0,3.0,5.0,0.0
19899,iams smart puppy,walk  ball play some tug,8.0,0.0,5.0,5.0,3.0,5.0,0.0
19899,iams,walks  tug  fetch  swimming  not recently   hiking  jumping on rocks,8.0,0.0,5.0,5.0,3.0,5.0,0.0
19899,iams smart puppy,walk  ball play some tug,8.0,0.0,5.0,5.0,3.0,5.0,0.0
19898,iams puppy,walks and ball,4.0,0.0,1.0,5.0,5.0,1.0,0.0
19898,iams,walking and playing,4.0,0.0,1.0,5.0,5.0,1.0,0.0
19895,iams,fetch and walks  outside free play,4.0,1.0,4.0,5.0,2.0,4.0,0.0
19891,iams  puppy,walks daily and plays with the house dog ,6.0,0.0,5.0,5.0,4.0,4.0,0.0
19889,health extensions,walks  play with other house dog,8.0,0.0,3.0,5.0,4.0,3.0,0.0
19889,hills science diet   puppy,  daily walks  free play with family pet in outdoor fenced area,8.0,0.0,3.0,5.0,4.0,3.0,0.0
19872,iams adult,walks  running in yard  active play with other dogs ,7.0,1.0,5.0,5.0,4.0,5.0,0.0
19872,iams,playing with older dog  wrestling  chase  toys   tug  walks,7.0,1.0,5.0,5.0,4.0,5.0,0.0
19866,iams healthy puppy,walking am & pm,4.0,0.0,4.0,3.0,2.0,1.0,0.0
19866,iams lamb & rice,walking  fetch,4.0,0.0,4.0,3.0,2.0,1.0,0.0
19862,iams smart puppy large breed,walks  plays with dogs  fetch  swimming,5.0,0.0,5.0,5.0,4.0,4.0,0.0
19861,iams,walking  playing ball,4.0,0.0,5.0,5.0,4.0,5.0,0.0
19861,purina pro plan,walking,4.0,0.0,5.0,5.0,4.0,5.0,0.0
19857,iams puppy  chicken and rice mixed,walks  play,8.0,1.0,5.0,5.0,5.0,5.0,0.0
19857,science diet large breed puppy,walk ,8.0,1.0,5.0,5.0,5.0,5.0,0.0
19854,hills science diet,walks  play with other geb pups  long leash  yard toys,4.0,0.0,3.0,5.0,2.0,3.0,0.0
19854,iams lamb and rice,long walks  fetch  geb dogs play  outside play,4.0,0.0,3.0,5.0,2.0,3.0,0.0
19853,fromm puppy,walking  playing with my dog,5.0,0.0,5.0,5.0,4.0,1.0,0.0
19853,iams lamb and rice,walking  playing ball,5.0,0.0,5.0,5.0,4.0,1.0,0.0
19851,merrick,walking  playing  hiking,8.0,0.0,3.0,5.0,4.0,4.0,0.0
19851,merrick,walking  playing,8.0,0.0,3.0,5.0,4.0,4.0,0.0
19849,science diet,walking playing training,4.0,1.0,3.0,5.0,3.0,1.0,0.0
19800,costco kirklands adult,fetch  walks  play with other dogs  swimming,7.0,1.0,4.0,5.0,3.0,1.0,0.0
19800,costo kirkland puppy,play with neighbor dogs  fetch with soccer and tennis balls  training walks,7.0,1.0,4.0,5.0,3.0,1.0,0.0
19797,kirkland lamb and rice,walks  occasional play with another dog,11.0,0.0,4.0,4.0,4.0,4.0,0.0
19797,science diet,walks  run in enclosed space  play with other dogs,11.0,0.0,4.0,4.0,4.0,4.0,0.0
19797,kirkland adult,walks  loose leash walks  running off leash in enclosed areas  swimming,11.0,0.0,4.0,4.0,4.0,4.0,0.0
19792,iams,walks,8.0,1.0,4.0,5.0,3.0,5.0,0.0
19785,iams,walking  biking  fetch,7.0,0.0,5.0,5.0,4.0,4.0,0.0
19785,science diet,walking  running  fetching ,7.0,0.0,5.0,5.0,4.0,4.0,0.0
19777,science diet,walking  fetch,4.0,0.0,3.0,5.0,4.0,1.0,0.0
19777,iams,running  fetch  walking,4.0,0.0,3.0,5.0,4.0,1.0,0.0
19772,puppy chow,walking playing with a ball,4.0,0.0,4.0,3.0,2.0,3.0,0.0
19772,iams,walking  swimming  fetch,4.0,0.0,4.0,3.0,2.0,3.0,0.0
19770,science diet,play ball  tug  walk,6.0,1.0,3.0,5.0,4.0,4.0,0.0
19770,science diet,walks  fetch  tug,6.0,1.0,3.0,5.0,4.0,4.0,0.0
19748,hill s large breed puppy,walks  play in the yard,4.0,1.0,3.0,5.0,4.0,3.0,0.0
19748,canidae,walks  fetch play in yard,4.0,1.0,3.0,5.0,4.0,3.0,0.0
19721,blue buffalo,walking  running & playing,7.0,1.0,5.0,5.0,4.0,4.0,0.0
19721,iams,running  walking  playing,7.0,1.0,5.0,5.0,4.0,4.0,0.0
19690,iams,walking,8.0,0.0,4.0,5.0,3.0,3.0,0.0
19690,iams large breed puppy food,walking  yard   stairs,8.0,0.0,4.0,5.0,3.0,3.0,0.0
19687, health,walks  fetch,5.0,0.0,5.0,5.0,5.0,1.0,0.0
19687,fromm,jogging  fetch  puppy play dates,5.0,0.0,5.0,5.0,5.0,1.0,0.0
19684,iams proactive health  smart puppy large breed,backyard running and ball fetching,8.0,1.0,5.0,5.0,3.0,3.0,0.0
19684,iams,playing  chasing balls  toys  walks,8.0,1.0,5.0,5.0,3.0,3.0,0.0
19683,science diet,yard running w  our dog,3.0,1.0,3.0,4.0,4.0,3.0,0.0
19683,iams  lamb & rice,walk runn chase fetch,3.0,1.0,3.0,4.0,4.0,3.0,0.0
19678,iams,walks playing in yard,5.0,1.0,0.0,4.0,4.0,0.0,0.0
19678,iams chicken,walks playing in yard,5.0,1.0,0.0,4.0,4.0,0.0,0.0
19677,iams smart puppy,walk to either main st   around boces parking lot  or plays with toys ,4.0,0.0,4.0,5.0,5.0,3.0,0.0
19677,iams minichunks,walks  fetch  tug,4.0,0.0,4.0,5.0,5.0,3.0,0.0
19677,iam,walks  mall walks  backyard fetch  playdates,4.0,0.0,4.0,5.0,5.0,3.0,0.0
19652,iams lamb and rice,walking  fetch,7.0,0.0,5.0,5.0,5.0,5.0,0.0
19652,iams puppy,walk play,7.0,0.0,5.0,5.0,5.0,5.0,0.0
19643,iams,walking training puppy play dates playing ball,8.0,1.0,5.0,5.0,4.0,5.0,0.0
19643,iams,walking playing ball training sometime get over excited especially when getting up in the morning,8.0,1.0,5.0,5.0,4.0,5.0,0.0
19643,iams lamb rice,walking ball endurance,8.0,1.0,5.0,5.0,4.0,5.0,0.0
19632,iams,walkling playing,8.0,0.0,5.0,5.0,4.0,5.0,0.0
19632,iams puppy,walking observing world,8.0,0.0,5.0,5.0,4.0,5.0,0.0
19632,iams,walks  play  other dog,8.0,0.0,5.0,5.0,4.0,5.0,0.0
19630,  health lamb and rice,playing ball  frisbee  walks,7.0,0.0,3.0,0.0,5.0,4.0,0.0
19630,  health puppy,plays in fenced yard  walks  snow frisbee,7.0,0.0,3.0,0.0,5.0,4.0,0.0
19630,  health salmon and potato,daily walks  fetch,7.0,0.0,3.0,0.0,5.0,4.0,0.0
19619,kirkland natures domain  grain free ,longlong walks  jogging  occasional play dates  fetches,5.0,0.0,4.0,5.0,4.0,0.0,0.0
19619,kirkland natures domain  grain free ,walking jogging swimming fetching tug of war,5.0,0.0,4.0,5.0,4.0,0.0,0.0
19619,kirkland nature s domain,walking jogging  swimming  fetching  tug of war,5.0,0.0,4.0,5.0,4.0,0.0,0.0
19573,science diet,walks  outtings  and playing ball ,8.0,1.0,4.0,5.0,4.0,3.0,0.0
19573,science diet puppy,fetch  walks  inside play  x day tug,8.0,1.0,4.0,5.0,4.0,3.0,0.0
19573,iams,walks  play  human dog ,8.0,1.0,4.0,5.0,4.0,3.0,0.0
19570,iams adult large breed,walking and playing   fetching toys ,5.0,0.0,0.0,4.0,4.0,1.0,0.0
19570,iams lamb & rice,walking  playing with other dogs  running in the bda,5.0,0.0,0.0,4.0,4.0,1.0,0.0
19568,hills science diet large breed puppy,short walks  playing in snow,4.0,0.0,5.0,5.0,5.0,1.0,0.0
19568,hill s science diet,walks,4.0,0.0,5.0,5.0,5.0,1.0,0.0
19568,hill s science diet large breed adult,walks  back yard and indoor play,4.0,0.0,5.0,5.0,5.0,1.0,0.0
19566,science diet chicken adult,walk  play ball  play tug,9.0,0.0,5.0,3.0,4.0,5.0,0.0
19566,science diet  large breed puppy chicken,walking  chase & retrieve  ball  play tug,9.0,0.0,5.0,3.0,4.0,5.0,0.0
19566,iams lamb and rice,walks  puppy play,9.0,0.0,5.0,3.0,4.0,5.0,0.0
19562,iams lamb & rice,walks outside  runs plays in enclosed porch,12.0,0.0,5.0,5.0,3.0,5.0,0.0
19562,iams lamb & rice,walking running playing stairs,12.0,0.0,5.0,5.0,3.0,5.0,0.0
19562,iams  lamb & rice,walking   outside play,12.0,0.0,5.0,5.0,3.0,5.0,0.0
19552,iams large breed puppy chow,at least       mile walks a day  plus fetch inside,5.0,1.0,1.0,4.0,4.0,3.0,0.0
19548,iams,tug  fetch  walks  rough housing  helping with energy management ,4.0,0.0,4.0,4.0,3.0,3.0,0.0
19548,iams,walks  tug of war  fetch  keeper in the middle,4.0,0.0,4.0,4.0,3.0,3.0,0.0
19537,iams lamb & rice,yard play  walking  tug games ,13.0,1.0,4.0,5.0,4.0,3.0,0.0
19537,iams puppy food,walks  playing with toys  balls  etc ,13.0,1.0,4.0,5.0,4.0,3.0,0.0
19537,iams lamb & rice,walks  hikes  outdoor fetch  playing with other dogs outside ,13.0,1.0,4.0,5.0,4.0,3.0,0.0
19536,iams,two walks most days of       min  daily play time with my dogs  play dates with other geb dogs about once a week  trips to other places    to   times per week,12.0,1.0,5.0,5.0,4.0,4.0,0.0
19536,iams,short and longer walks  visits to training sites  play sessions  supervised ,12.0,1.0,5.0,5.0,4.0,4.0,0.0
19536,low res to canidae,short walks  play time with me  play time with my dogs ,12.0,1.0,5.0,5.0,4.0,4.0,0.0
19535,taste of the wild grain free,walking  outings,8.0,1.0,3.0,5.0,4.0,1.0,0.0
19535,iams low residue,outdoor on     lead  indoor toys  walks,8.0,1.0,3.0,5.0,4.0,1.0,0.0
19535,taste of the wild grain free,walking,8.0,1.0,3.0,5.0,4.0,1.0,0.0
19533,iams puppy,play time with other dog,4.0,1.0,4.0,4.0,4.0,3.0,0.0
19530,iams, walk per day  except when too cold,5.0,0.0,3.0,4.0,4.0,3.0,0.0
19530,iams,walk &  running around the yard,5.0,0.0,3.0,4.0,4.0,3.0,0.0
19530,iams,walking  running  hiking,5.0,0.0,3.0,4.0,4.0,3.0,0.0
19521,iams puppy       mo formula ,walking hiking,9.0,1.0,4.0,5.0,2.0,5.0,0.0
19521,iams puppy       mo formula ,walks  catching frisbees  chasing after tennis balls or playing with our other dog,9.0,1.0,4.0,5.0,2.0,5.0,0.0
19521,natures variety,lots of walks and play time,9.0,1.0,4.0,5.0,2.0,5.0,0.0
19517,iams,walking  playing,6.0,0.0,4.0,3.0,4.0,3.0,0.0
19517,iams,walking  running  fetching,6.0,0.0,4.0,3.0,4.0,3.0,0.0
19517,iams,walks and playing in fenced in backyard,6.0,0.0,4.0,3.0,4.0,3.0,0.0
19517,iams,walks  runs  playing,6.0,0.0,4.0,3.0,4.0,3.0,0.0
19505,iams lamb and rice,walking  playing in yard,9.0,1.0,5.0,4.0,3.0,5.0,0.0
19505,iams,walking,9.0,1.0,5.0,4.0,3.0,5.0,0.0
19498,iams puppy chow,walking  retrieving balls  beach,9.0,0.0,4.0,5.0,4.0,0.0,0.0
19498,iams puppy chow,walking  playing,9.0,0.0,4.0,5.0,4.0,0.0,0.0
19498,iams lamb and rice,walk  run  swim,9.0,0.0,4.0,5.0,4.0,0.0,0.0
19489,iams,long line walks  fetch  swimming,9.0,0.0,5.0,5.0,3.0,5.0,0.0
19489,iams puppy, walk  fetch  play,9.0,0.0,5.0,5.0,3.0,5.0,0.0
19489,iams,walks  fetch  water play,9.0,0.0,5.0,5.0,3.0,5.0,0.0
19483,half low res hills  half iams puppy,walks x  per day  play with    year old lab that lives in home,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19483,purina,walk  play ball,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19483,purina,walking  playing in fenced in park on slides etc ,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19475,chicken soup for the soul,walking and back yard,10.0,0.0,5.0,3.0,3.0,5.0,0.0
19475,chicken soup puppy and iams,walk  play in fenced yard,10.0,0.0,5.0,3.0,3.0,5.0,0.0
19473,iiams adult minichunks,  mile work once a day  run play in fenced in area  x day,13.0,1.0,5.0,5.0,5.0,5.0,0.0
19473,iams puppy chow,walking       minutes in the morning     minute walk in afternoon  play exercise outside twice a day for       minutes  energetic run in fenced in area once a day for    minutes  weekly playdate with other geb pups,13.0,1.0,5.0,5.0,5.0,5.0,0.0
19471,iams smart puppy,walking on street,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19471,iams lamb and rice,walks  chase ball  play with other dogs,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19471,canidae lamb and rice,walking  running on beach  retrieving ball,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19445,blue seal adult,walks fetch swimming,13.0,0.0,5.0,4.0,4.0,5.0,0.0
19445,iams puppy,walking   playing in fenced area,13.0,0.0,5.0,4.0,4.0,5.0,0.0
19445,blue seal,walking  playing ball  tug of war,13.0,0.0,5.0,4.0,4.0,5.0,0.0
19440,kirkland signature lamb,play time walks,12.0,1.0,5.0,5.0,3.0,5.0,0.0
19440,nature s recipe pure essentials,walking toy play play dates,12.0,1.0,5.0,5.0,3.0,5.0,0.0
19440,iams puppy chow,long walks  play time and puppy dates ,12.0,1.0,5.0,5.0,3.0,5.0,0.0
19418,iams adult dog food  lamb and rice ,walking  play with dog  play fetch with toys,7.0,0.0,5.0,5.0,3.0,5.0,0.0
19418,iams adult dog food,walking  fetching ball for play  swimming  play with other dogs,7.0,0.0,5.0,5.0,3.0,5.0,0.0
19418,iams puppy chow,running  walking  fetch and ball play,7.0,0.0,5.0,5.0,3.0,5.0,0.0
19409,low res transitioning to iams puppy chow,back yard romps frolicking with our own lab and walks,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19409,purina one,backyard  walking,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19409,iams lamb & rice,walking & fetch,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19403,iams puppy,walks  playing in my large fenced yard,3.0,1.0,0.0,0.0,0.0,0.0,0.0
19403,iams,walks  fetch  outings  plays with other family and friends dogs,3.0,1.0,0.0,0.0,0.0,0.0,0.0
19403,iams adult,plays in yard  fetch and with other dogs nicely ,3.0,1.0,0.0,0.0,0.0,0.0,0.0
19396,iams,walking  ball playing,12.0,1.0,5.0,5.0,3.0,5.0,0.0
19396,iams,walking,12.0,1.0,5.0,5.0,3.0,5.0,0.0
19396,iams puppy,vanda gets a good amount anywhere from      short walks a day plus usually one outing lasting         minutes,12.0,1.0,5.0,5.0,3.0,5.0,0.0
19361,iams,very energetic after swimming! also leash walks and fetch,11.0,0.0,3.0,4.0,3.0,4.0,0.0
19361,iams,walks  fetch  tug of war  occasional hike  name response,11.0,0.0,3.0,4.0,3.0,4.0,0.0
19360,imas lamb and rice,walks  play with ball  frisbee  toys and other dogs,12.0,0.0,4.0,5.0,4.0,5.0,0.0
19360,iams lamb and rince,walking  training  play ball in back yard  play with other dog,12.0,0.0,4.0,5.0,4.0,5.0,0.0
19360,iams puppy,walks  fetch  tug  dog dog play,12.0,0.0,4.0,5.0,4.0,5.0,0.0
19357,iams,fetch  running  walks,13.0,0.0,5.0,5.0,4.0,5.0,0.0
19357,iams,fetch  plays with other dogs,13.0,0.0,5.0,5.0,4.0,5.0,0.0
19357,iams,fetch  walks  running,13.0,0.0,5.0,5.0,4.0,5.0,0.0
19356,iams adult lamb and rice,walks  fetches  hikes  swam once,13.0,0.0,5.0,4.0,4.0,5.0,0.0
19356,iams,chase ball  walks  hikes  gentle tug,13.0,0.0,5.0,4.0,4.0,5.0,0.0
19356,iams lamb and rice adult,walk hike  ball toss fetch frisbee  gentle tug,13.0,0.0,5.0,4.0,4.0,5.0,0.0
19353,iams puppy,walks  tug  fetch  other dogs,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19353,euka nuva large breed puppy food,walks  indoor play  outdoor play  training,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19353,nutromax,walking  playing,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19342,iams puppy chow,plays with my other dogs  ball  walks at the rec,15.0,1.0,0.0,0.0,0.0,0.0,0.0
19342,great life duck,  play dates a week  daily frisbee chasing  walks,15.0,1.0,0.0,0.0,0.0,0.0,0.0
19342,evangers fish and sweet pot until july  ,walks  outings  frisbee,15.0,1.0,0.0,0.0,0.0,0.0,0.0
19337,iams,walks     miles per day  play in yard on long leash  practices on stairs,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19337,iams,walks  ball  tug,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19337,iams,walks  ball toss,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19336,iams,walk  chase  tug,8.0,1.0,5.0,5.0,4.0,3.0,0.0
19336,iams smart puppy,walk  play,8.0,1.0,5.0,5.0,4.0,3.0,0.0
19336,rams green  chicken ,very low energy compared to other dogs i have raised ,8.0,1.0,5.0,5.0,4.0,3.0,0.0
19333,transitioning to iams lamb from iams puppy,walking chasing ball sometimes puppy playgroup,5.0,1.0,0.0,0.0,0.0,0.0,0.0
19333,iams chicken,walking    miles  frisbee  ball,5.0,1.0,0.0,0.0,0.0,0.0,0.0
19333,iams chicken,walking  frisbee  ball playing,5.0,1.0,0.0,0.0,0.0,0.0,0.0
19333,iams  green bag  main ingredient chicken seems to agree better than lamb and rice,walking     miles day  ball and frisbee  and tug of war,5.0,1.0,0.0,0.0,0.0,0.0,0.0
19332,iams,walking and playing,12.0,1.0,4.0,5.0,5.0,5.0,0.0
19332,iams puppy,i enjoy nalani tremendously  she is a good fit for our lifestyle   nalani entertains herself with her comfort toys and bones when she wakes up in her crate and waits patiently for us to get up and or let her out   she is walking very well on the lead  las,12.0,1.0,4.0,5.0,5.0,5.0,0.0
19332,iams,walking  playing,12.0,1.0,4.0,5.0,5.0,5.0,0.0
19311,iams puppy,play  chasing a ball  walking,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19311,iams smart puppy large breed,walking,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19311,iams,walk  run  ball,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19309,    low residue      iams puppy,neighborhood walks     times daily  excursions   times weekly,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19309,iams adult chunks,daily walks,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19308,low residue   iams & iams puppy chow,walking & playing,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19308,iams lamb & rice,walking,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19308,iams lamb & rice,walking  + miles a day,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19304,purina puppy  chow,walks  play with other dogs,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19300,iam s low residue blue buffalo puppy chow,walking  x day ,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19300,blue buffalo,walking,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19300,blue buffalo,    walks per day  longest about       miles ,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19270,iams puppy chow,several walks daily  occasional run in back yard,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19264,science diet lamb and rice,walks  play,8.0,1.0,4.0,4.0,4.0,5.0,0.0
19264,science diet,daily walk and play time in house,8.0,1.0,4.0,4.0,4.0,5.0,0.0
19264,science diet lamb and rice,walks at least daily  running in fenced yard,8.0,1.0,4.0,4.0,4.0,5.0,0.0
19262,iams,walking running hiking,12.0,1.0,5.0,5.0,4.0,0.0,0.0
19262,iams,walks  hikes and runs at the park,12.0,1.0,5.0,5.0,4.0,0.0,0.0
19256,iams,high energy  running  fetching  play w  other dogs,8.0,1.0,5.0,5.0,2.0,1.0,0.0
19256,iams,walks  fetch,8.0,1.0,5.0,5.0,2.0,1.0,0.0
19250,iams adult,walking running,8.0,1.0,5.0,4.0,3.0,3.0,0.0
19250,iams low res iams puppy chow,dog walks,8.0,1.0,5.0,4.0,3.0,3.0,0.0
19250,rams adult lamb & rice,mainly walking      miles day,8.0,1.0,5.0,4.0,3.0,3.0,0.0
19244,iams adult,walks  romping in fenced in yard with other family dogs,9.0,1.0,5.0,4.0,4.0,4.0,0.0
19244,iams puppy,daily walks  running in backyard with other dogs,9.0,1.0,5.0,4.0,4.0,4.0,0.0
19243,iams,short walks,5.0,1.0,0.0,0.0,0.0,0.0,0.0
19243,iams,walking  fetch,5.0,1.0,0.0,0.0,0.0,0.0,0.0
19243,iams,walk  frisbee,5.0,1.0,0.0,0.0,0.0,0.0,0.0
19229,iams,play rope outside in morning apprx    min   he comes to work with me everyday   we walk at lunch a minimum of         mins   walks at night with us  does a lot of walking at work  weekends he gets more exercise,12.0,0.0,4.0,5.0,4.0,3.0,0.0
19229,iams,walk  ball  retrieve  tug of war  run around yard,12.0,0.0,4.0,5.0,4.0,3.0,0.0
19229,iam,walk  ball  retrieve  tug of war  run around yard,12.0,0.0,4.0,5.0,4.0,3.0,0.0
19197,iams lamb and rice,fetch  walks  running in back yard,12.0,1.0,4.0,4.0,2.0,5.0,0.0
19197,iams lamb and rice,walks  runs  fetch,12.0,1.0,4.0,4.0,2.0,5.0,0.0
19172,iams large breed,walks  running on a long line  playing with other dogs,8.0,1.0,0.0,0.0,0.0,0.0,0.0
19154,diamond,walking  retrieving  playing with dogs kids,8.0,0.0,0.0,0.0,0.0,0.0,0.0
19154,diamond,just walking,8.0,0.0,0.0,0.0,0.0,0.0,0.0
19150,blue buffalo,fetch in the yard  walking,8.0,0.0,0.0,0.0,0.0,0.0,0.0
19150,blue buffalo,walking running for fetch,8.0,0.0,0.0,0.0,0.0,0.0,0.0
19134,iams,playing with the frisbee  walking on the street  and our outings once a day,7.0,0.0,0.0,0.0,0.0,0.0,0.0
19125,kibbles n bits,playing  running,6.0,0.0,0.0,0.0,0.0,0.0,0.0
19116,iams,walks  ball frisbee playing  playing with other dogs,12.0,1.0,5.0,5.0,4.0,5.0,0.0
19116,iams,walking  retrieving  playing with our other dogs,12.0,1.0,5.0,5.0,4.0,5.0,0.0
19110,iams,walks and plays fetch with toys,7.0,0.0,0.0,0.0,0.0,0.0,0.0
19110,iams lamb and rice,walks  runs  and fetch with toys,7.0,0.0,0.0,0.0,0.0,0.0,0.0
19108,iams,walking soccer play dates,13.0,0.0,0.0,3.0,3.0,4.0,1.0
19108,iams,play dates & walks,13.0,0.0,0.0,3.0,3.0,4.0,1.0
19106,iams,walks  chase and retrieve ball,14.0,1.0,4.0,5.0,4.0,4.0,0.0
19106,iams,walks  chase and retrieve ball,14.0,1.0,4.0,5.0,4.0,4.0,0.0
19064,iams dog food,two walks a day and frisbee play,7.0,0.0,0.0,0.0,0.0,0.0,1.0
19064,iams,walks and frisbee,7.0,0.0,0.0,0.0,0.0,0.0,1.0
19024,hills pet nutrition,walking  playing in yard,7.0,1.0,0.0,0.0,0.0,0.0,0.0
19024,hill s pet nutrition,walks and playing outside,7.0,1.0,0.0,0.0,0.0,0.0,0.0
19001,iam s lamb and rice,walks and fetch and go run,12.0,0.0,5.0,4.0,2.0,4.0,0.0
19001,iam s,walking  playing  running,12.0,0.0,5.0,4.0,2.0,4.0,0.0
19000,u s  grain s regal active bites,tug o war  plays with other family dogs and walks,12.0,1.0,4.0,4.0,4.0,5.0,0.0
19000,u s  grain s regal active bites  all natural dog food ,tug  chase balls or other dogs in yard  walks,12.0,1.0,4.0,4.0,4.0,5.0,0.0
