ogr_DogID,Age,Breed,Color,Sex,GoodAppetite,FoodAmount,Weight,Health,StoolFirm,EnergyLevel,EliminationInCrate,QuietInCrate,RespondsToCommandKennel,NoInappropriateChewing,Housemanners,LeftUnattended,EliminationInHouse,PlaybitePeople,StealsFood,OnFurniture,BarksExcessively,RaidsGarbage,CounterSurfingJumpOnDoors,JumpOnPeople,FriendlyWAnimals,GoodWKids,GoodWStrangers,WalksWellOnLeash,KnowCommandGetBusy,EliminatesOnRoute,ChasingAnimals,TrafficFear,NoiseFear,Stairs,SitsOnCommand,DownOnCommand,StaysOnCommand,ComeOnLeash,ComeOffLeash,CanGivePills,EarCleaning,NailCutting,AttendsClasses,BehavesWellClass,AttendsHomeSwitches,Status
20313,4,2,1,1,1,1,26,5,4,5,5,2,1,3,3,1,5,3,5,4,5,5,2,1,5,5,5,3,4,2,5,5,4,5,5,5,3,5,5,4,4,4,5,5,2,0
20311,4,2,1,1,1,3,25,5,5,5,5,5,4,5,5,2,3,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,4,3,5,3,5,5,5,3,5,4,0
20309,3,2,2,0,1,1,21,2,5,5,5,4,5,3,4,1,2,3,4,2,3,3,4,4,5,5,5,4,3,4,4,4,4,4,4,3,2,2,2,4,4,4,5,5,4,0
20303,4,2,5,0,1,3,28,4,4,5,5,4,5,5,4,5,4,3,5,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,4,5,3,3,5,4,4,0
20302,3,2,5,0,1,3,22,4,4,5,5,4,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,1,0
20301,4,2,5,1,1,3,27,3,3,5,5,5,5,4,4,3,4,4,5,2,4,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,2,5,5,3,5,5,5,5,1,0
20300,4,2,5,1,1,3,28,3,3,4,5,4,5,3,3,2,4,2,3,2,2,3,2,3,3,4,4,4,4,3,2,4,4,4,5,5,4,5,5,5,5,4,5,5,5,0
20299,3,2,5,1,1,1,22,4,5,5,5,3,5,3,3,2,3,2,4,3,3,5,5,4,4,5,5,4,5,3,5,5,5,5,5,4,2,4,3,5,4,5,5,4,1,0
20288,4,2,5,1,1,3,30,5,5,5,5,5,5,3,3,4,5,4,5,3,4,5,1,3,3,3,4,5,4,4,4,4,5,5,5,4,4,4,5,3,3,3,3,3,1,0
20287,4,2,1,0,1,2,27.8,4,5,5,5,3,5,4,3,5,5,4,4,4,3,4,3,4,5,5,5,4,5,5,3,4,4,4,5,4,4,5,5,1,5,4,5,4,5,0
20277,4,2,1,1,1,2.5,25,5,5,4,4,4,4,4,4,3,3,3,5,4,4,5,5,3,5,5,5,4,4,3,5,4,4,5,4,4,2,4,4,5,5,3,5,4,4,0
20273,4,2,1,1,1,3,28.5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,4,4,4,5,5,4,4,3,5,5,5,5,5,5,5,5,3,5,4,5,5,3,0
20272,3,2,1,0,1,1,20,5,5,5,5,5,4,5,4,4,5,3,5,3,4,5,5,4,5,4,5,4,5,4,4,4,5,5,5,4,3,5,5,5,5,5,4,4,1,0
20269,5,2,1,0,1,3,34,5,5,5,5,4,4,3,2,2,3,3,3,3,3,3,3,2,4,3,3,4,4,4,3,4,4,4,4,3,3,4,4,3,3,2,5,3,1,0
20268,4,2,1,1,1,3,28,5,5,5,5,4,5,3,5,4,4,3,5,4,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,4,4,4,4,5,4,3,5,4,5,0
20255,3,2,5,1,1,1,22.5,5,5,5,3,5,3,3,4,1,2,3,4,3,5,3,4,3,4,4,4,4,3,4,4,3,3,3,5,4,3,4,4,3,3,4,4,4,3,0
20254,5,2,1,0,1,1,32,5,5,5,4,2,4,3,3,3,1,2,5,2,4,4,4,2,4,5,5,5,5,4,5,3,5,5,4,2,4,4,4,3,3,3,5,4,5,0
20250,4,2,1,1,1,1,25,5,3,5,4,4,4,4,3,3,3,3,5,3,4,5,5,3,5,5,5,4,3,3,5,4,4,3,4,3,1,3,3,5,5,3,5,3,1,0
20248,5,2,5,0,1,1,45,5,4,4,5,4,3,4,5,4,5,4,5,5,3,5,5,3,4,3,5,4,4,5,2,5,5,4,4,5,4,4,3,5,5,4,5,3,5,0
20247,4,2,1,1,1,3,28,1,1,1,1,1,1,2,1,3,2,1,1,1,2,1,1,3,1,3,3,3,1,3,2,2,3,1,1,2,4,2,3,1,5,3,2,3,5,0
20245,4,2,5,0,1,1,31.5,5,5,5,5,4,5,5,5,1,3,4,5,5,4,5,5,4,3,5,5,5,5,4,5,4,4,4,5,5,3,5,5,1,4,3,5,4,1,0
20244,5,2,5,1,1,3.75,33,5,5,5,4,3,4,5,4,4,4,3,5,5,4,5,4,4,5,5,5,4,5,4,4,4,5,3,5,4,4,5,4,5,4,4,5,5,5,0
20242,4,2,1,1,1,2.25,30,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,4,5,5,5,0
20240,4,2,1,0,1,2.25,25,4,3,4,4,3,3,2,3,3,4,2,3,2,4,3,3,3,3,4,4,3,3,3,4,3,3,4,4,4,1,4,4,5,3,4,4,3,4,0
20239,3,2,5,0,1,3,25,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,4,3,5,5,5,5,4,5,5,5,0
20238,4,2,5,1,1,3,30,5,5,5,5,3,3,3,4,3,4,4,3,5,3,3,4,2,5,5,4,3,3,3,2,3,3,3,5,4,4,4,3,3,2,2,4,4,1,0
20238,4,2,5,1,1,3,30,5,5,4,5,3,4,3,3,3,3,3,1,5,3,3,4,2,5,5,4,3,3,3,2,3,3,3,4,4,4,4,3,1,3,2,5,4,1,0
20236,4,2,2,1,1,1,25,5,5,3,5,4,5,4,3,2,4,2,5,3,3,5,4,3,5,5,4,3,4,3,3,4,3,5,5,5,3,5,5,5,3,3,3,3,5,0
20235,5,2,2,0,1,5,46,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,3,4,4,5,5,4,4,5,5,0
20233,4,2,1,1,1,1,32.5,5,5,5,5,4,5,4,3,5,4,4,5,4,4,5,5,3,5,5,5,3,5,4,5,4,4,4,5,5,2,5,4,5,5,3,5,5,1,0
20229,4,2,2,0,1,1,36,5,5,5,5,5,4,3,5,4,5,3,5,5,5,4,5,4,5,5,5,4,5,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,0
20227,4,2,1,0,1,3,35,5,5,5,5,4,4,4,4,3,3,4,5,4,4,3,5,4,5,5,5,4,4,3,3,5,5,5,5,4,2,2,2,5,5,4,4,3,4,0
20223,4,2,5,1,1,1,27,5,5,5,5,4,5,3,3,3,4,5,5,2,3,3,1,3,5,5,5,4,5,4,3,5,5,5,5,5,3,4,4,3,5,4,5,4,1,0
20219,4,2,1,1,1,1,29,5,5,5,5,4,4,4,5,5,4,4,5,5,4,5,4,4,5,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,5,4,5,0
20217,4,2,1,0,1,1,30,5,4,5,5,4,4,2,3,2,3,1,5,4,3,2,3,4,5,5,5,4,3,4,3,4,5,4,5,4,1,5,4,5,1,1,5,4,1,0
20216,4,2,5,0,1,1,40,5,4,5,5,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,5,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,5,4,5,0
20215,3,2,1,1,1,3,30,4,5,4,5,4,4,4,4,4,5,2,4,4,2,4,3,2,4,3,3,3,3,3,3,3,3,3,5,4,2,5,5,5,4,4,4,2,1,0
20214,4,2,5,0,1,3.5,27,5,5,5,5,3,4,4,4,3,4,4,4,5,3,5,4,3,5,5,5,5,4,4,3,4,5,4,4,4,1,4,1,1,4,4,5,4,1,0
20213,4,2,5,1,1,1,32,3,4,4,5,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,0
20211,5,2,1,0,1,3,37.4,4,5,4,5,4,2,4,3,3,5,2,5,4,5,4,5,2,4,3,5,3,5,4,4,4,4,5,4,2,4,2,4,5,5,3,5,2,3,0
20208,4,2,1,1,1,3,30,4,5,4,5,5,5,4,5,3,3,4,5,5,5,5,5,5,5,5,5,4,4,3,3,5,5,5,5,5,1,5,5,5,5,3,5,1,3,0
20207,4,2,1,1,1,2.25,30.3,5,5,5,4,5,4,4,3,3,1,2,4,2,5,5,3,4,3,4,4,4,4,2,3,4,4,5,4,1,1,4,4,4,3,3,4,4,5,0
20206,5,2,5,1,1,1,45,5,5,5,5,5,2,5,4,3,3,4,3,4,4,4,5,2,4,4,4,4,4,3,4,3,4,3,5,4,3,3,3,3,3,3,4,4,1,0
20205,4,2,5,0,1,1,29,3,1,1,1,2,2,4,3,3,3,3,3,3,3,3,3,2,1,1,1,2,3,2,2,3,1,1,1,1,3,1,2,3,3,3,2,1,1,0
20204,4,2,5,1,1,1,35,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,4,5,5,5,4,5,3,3,4,3,4,4,4,3,5,2,5,4,3,4,3,5,0
20203,4,2,5,1,1,1,28,4,5,5,5,3,4,3,5,5,5,4,5,4,4,5,5,4,5,5,5,3,4,3,5,5,5,5,5,3,2,4,3,5,5,1,5,3,5,0
20201,3,2,5,0,1,1,30.7,4,2,4,5,3,4,2,4,2,5,4,4,4,3,4,4,3,3,3,4,4,4,2,3,4,4,5,5,5,4,4,5,5,4,1,5,2,3,0
20200,4,2,1,0,1,1,31,4,5,5,5,5,3,3,4,4,5,3,4,4,3,5,5,4,4,5,5,4,4,5,4,4,5,5,5,4,3,5,3,5,5,5,5,4,5,0
20199,10,2,5,1,1,1,18,5,4,5,4,3,2,1,2,2,3,2,3,2,3,3,4,3,5,5,5,5,5,2,4,5,4,4,5,4,1,5,5,5,3,5,5,5,1,0
20197,4,2,5,0,1,1,35,5,5,4,4,5,4,4,3,1,3,3,4,4,4,5,3,2,4,2,5,3,4,2,5,4,4,5,3,3,1,4,4,3,4,1,1,1,1,0
20196,4,2,5,1,1,3,27.2,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,3,5,5,5,4,5,4,3,5,5,5,5,5,4,5,5,5,5,5,5,4,5,0
20190,4,2,1,0,1,1,30,5,4,5,5,5,4,2,5,5,5,3,5,5,4,5,5,3,4,5,5,3,5,4,5,5,5,5,5,5,5,3,5,5,4,5,5,4,1,0
20189,4,2,1,0,1,1,26,3,4,5,5,3,4,2,3,4,3,3,4,3,3,5,5,3,3,5,5,5,4,3,2,5,5,5,5,4,4,5,4,5,5,4,5,4,1,0
20189,4,2,1,0,1,1,26,3,4,5,5,3,4,2,3,4,3,3,4,3,3,5,5,3,3,5,5,5,4,3,2,5,5,5,5,4,4,5,4,5,5,4,5,4,1,0
20188,4,2,1,0,1,1,32,5,5,5,5,3,4,3,3,4,4,4,5,5,3,3,5,5,5,5,5,4,5,5,4,5,5,5,5,5,3,5,4,5,5,5,5,4,5,0
20186,5,2,5,1,1,1,45,5,5,3,5,4,5,5,4,5,4,4,5,3,3,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,4,5,4,3,3,4,5,5,5,0
20184,4,2,5,0,1,1,32,5,5,5,5,5,3,1,3,1,3,1,5,4,5,5,5,2,5,5,5,3,5,2,4,2,4,4,5,5,3,4,2,5,4,3,5,2,1,0
20180,4,2,1,1,1,2.25,26,4,4,5,5,5,5,4,4,4,5,4,4,4,5,4,5,3,5,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,4,5,5,5,5,0
20180,4,2,1,1,1,2.25,26,4,4,5,5,5,5,4,4,4,5,4,4,4,5,4,5,3,5,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,4,5,5,5,5,0
20179,3,2,1,1,1,1,25,5,5,4,4,4,4,1,2,1,3,2,3,3,3,3,4,2,4,5,5,5,4,2,3,4,4,5,4,4,3,3,3,5,4,1,5,4,1,0
20178,4,2,1,1,1,1,40,5,5,5,5,4,4,3,3,3,5,2,4,3,3,4,4,3,4,4,4,4,5,4,4,5,5,5,5,5,3,5,4,5,4,3,3,4,5,0
20177,4,2,1,1,1,3,33,5,5,5,5,5,5,4,4,4,4,4,4,4,3,4,3,4,5,5,5,4,4,4,4,4,4,4,5,5,4,5,4,5,4,4,4,4,5,0
20176,4,2,5,0,1,3,30,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5,4,4,5,5,5,4,5,5,5,5,5,4,5,4,4,0
20175,4,2,1,1,1,3,34,5,5,5,5,3,5,4,4,4,5,4,5,5,4,4,5,3,4,5,5,4,4,4,4,5,4,5,5,5,3,5,4,5,4,4,5,4,4,0
20174,5,2,5,1,0,4,36,4,4,4,4,4,3,2,3,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,0
20173,4,2,5,0,1,1,34,5,5,5,5,4,5,2,4,3,5,3,5,5,4,5,5,2,5,5,5,5,5,3,5,5,4,5,5,4,1,4,3,5,4,3,5,4,1,0
20170,4,2,1,0,1,3,29,5,5,5,5,5,5,4,5,3,4,3,5,4,5,3,5,4,4,5,5,5,5,3,3,3,4,5,5,5,3,4,4,5,5,4,5,5,3,0
20170,4,2,1,0,1,1,34,4,5,5,5,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,5,4,5,5,4,4,5,5,5,5,4,5,5,5,5,4,5,5,3,0
20170,5,2,1,0,1,4,58,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
20169,4,2,5,0,1,1,26,5,5,5,5,5,4,4,4,4,5,4,5,4,3,5,4,3,5,5,5,4,5,5,4,4,4,5,5,4,1,5,4,5,5,3,5,4,5,0
20166,4,2,5,1,1,1,31,5,5,5,4,4,3,5,4,3,4,3,5,3,4,5,5,3,5,5,5,3,5,3,3,5,4,2,5,5,4,3,3,3,4,4,5,4,4,0
20164,4,2,5,0,1,3,35,5,5,5,5,3,5,4,5,4,3,3,5,5,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,0
20160,4,2,5,1,1,3,30,5,5,5,5,4,5,4,4,4,4,4,5,4,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,0
20143,5,2,1,0,1,3.5,44.2,4,4,5,5,5,4,3,4,3,5,3,4,5,4,3,5,2,5,5,5,4,4,4,3,3,5,2,5,5,5,5,5,5,3,4,4,4,3,0
20142,3,2,2,0,1,1,24,5,5,4,5,4,3,3,4,3,4,3,4,4,3,5,4,4,4,5,5,4,4,2,3,5,5,5,5,4,1,4,4,5,3,3,5,5,1,0
20141,5,2,5,0,1,1,43.6,5,3,4,5,4,5,3,3,2,5,2,5,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,1,0
20140,3,2,5,1,1,3,26,5,5,5,5,5,5,4,4,2,4,3,4,4,5,5,5,3,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,0
20139,6,2,2,1,1,2,45,4,5,4,3,4,5,3,4,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0
20137,5,2,5,1,1,2.5,34,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,4,4,5,4,5,4,5,5,4,4,5,5,5,5,4,5,5,5,0
20136,4,2,1,1,1,3,28,4,4,4,5,4,5,4,4,3,4,4,5,5,4,5,5,3,5,5,5,4,4,4,4,3,4,5,4,4,4,5,4,4,4,4,5,4,1,0
20135,4,2,1,0,1,3,35,5,5,5,5,4,5,4,3,4,4,3,4,3,3,4,4,2,3,4,4,3,3,2,3,3,3,3,5,4,4,4,3,5,4,4,5,3,1,0
20134,5,2,1,0,1,3,35,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,4,3,5,3,5,5,4,4,3,5,5,1,4,4,5,5,1,0
20133,3,2,1,1,1,2.5,30,4,4,4,5,5,4,2,4,3,5,1,4,4,5,4,5,3,5,5,5,5,4,4,4,3,5,5,5,5,3,5,5,3,4,3,5,4,5,0
20132,3,2,1,0,1,1,26,5,5,5,4,5,3,4,4,2,5,4,5,4,5,5,4,3,4,5,5,3,5,4,4,4,5,3,5,4,4,4,3,1,3,4,5,5,4,0
20131,4,2,5,1,1,2,35,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,0
20130,4,2,1,0,1,2.25,26,5,5,5,5,5,5,5,4,4,4,4,4,5,5,4,5,4,5,5,5,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,5,5,1,0
20116,4,2,1,0,1,3,33.5,5,5,4,5,4,4,3,4,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,3,4,3,5,4,3,4,4,3,4,4,5,4,4,0
20115,4,2,1,1,1,3.75,28,5,5,5,5,3,4,5,3,2,5,2,4,3,3,4,3,1,5,4,5,2,5,3,4,4,2,4,4,4,2,4,4,5,4,3,5,3,1,0
20114,4,2,1,0,1,3,26,5,5,5,5,5,3,2,3,3,3,2,4,2,3,3,4,3,5,5,5,5,5,3,5,3,3,3,5,5,2,5,5,4,4,3,5,4,4,0
20113,4,2,5,0,1,4,31,5,5,5,5,2,3,1,3,1,5,3,5,4,3,5,4,3,5,5,5,4,4,3,3,4,4,4,4,4,1,3,1,1,5,5,4,4,1,0
20112,4,2,5,1,1,4.5,42,3,3,4,5,4,2,3,3,3,5,2,5,3,4,5,3,3,5,5,5,4,4,3,5,5,5,5,5,4,4,5,4,5,5,5,5,4,4,0
20109,4,2,5,1,1,1,30,5,4,3,4,5,3,3,4,1,5,3,5,3,3,4,5,3,2,5,5,5,5,3,3,4,5,5,5,4,3,5,4,1,5,3,5,4,5,0
20107,6,2,1,1,1,1,39.1,4,5,5,5,4,4,4,4,5,4,3,4,4,4,4,4,3,5,5,5,4,4,3,2,5,5,5,5,5,3,5,4,3,3,3,5,3,3,0
20106,3,4,2,0,1,3,29,5,5,4,5,3,5,3,4,3,5,4,3,4,3,4,4,3,5,4,5,4,4,3,3,3,3,5,5,4,4,4,4,3,3,3,5,5,3,0
20104,4,4,2,1,1,2.5,38,5,5,5,5,5,5,2,3,3,5,4,5,4,3,5,5,3,3,5,5,4,5,4,1,5,3,5,5,5,4,5,5,5,5,5,5,5,1,0
20103,4,4,2,1,1,1,24,5,5,5,5,4,3,5,4,3,5,5,3,5,4,3,4,4,5,5,5,4,4,3,3,4,4,4,5,5,4,5,4,5,4,4,5,4,1,0
20102,4,4,2,0,1,6,35,5,4,4,2,2,5,5,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2,4,4,4,2,4,4,3,4,2,4,4,3,0
20100,4,4,2,1,1,4,35,4,4,5,5,3,4,3,4,3,5,4,5,5,3,3,4,5,4,5,5,4,4,4,3,3,3,4,4,4,1,4,3,3,2,4,4,4,1,0
20099,4,4,2,1,1,1,35,5,5,5,5,5,5,3,4,3,5,4,3,3,5,4,3,3,5,5,5,4,4,5,4,5,5,5,5,5,4,5,5,3,3,4,5,4,3,0
20074,4,2,5,0,1,4.5,25,4,3,4,5,4,4,4,4,3,4,4,4,2,4,4,4,4,4,5,5,4,4,3,4,5,5,5,5,4,3,4,4,3,4,4,4,4,3,0
20073,8,2,5,1,1,3,51.4,5,5,4,5,5,5,5,4,5,5,4,5,4,5,5,5,3,4,5,5,5,5,4,3,5,5,5,5,5,5,4,4,3,3,5,5,5,5,0
20073,4,2,5,1,1,3.75,30.2,5,5,4,5,4,4,4,4,5,5,3,5,3,5,5,4,3,3,5,5,4,5,4,4,4,5,5,5,5,4,4,4,3,4,4,5,4,3,0
20072,4,2,5,1,1,1,30,2,2,3,5,5,4,4,2,2,3,3,4,3,3,3,5,1,1,1,1,3,2,2,3,3,4,5,3,3,3,3,3,5,3,4,3,3,3,0
20064,4,2,1,0,1,3,35,4,4,4,5,4,3,4,4,4,4,4,5,5,4,3,4,3,4,4,4,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,1,0
20064,8,2,1,0,1,4,50,4,4,4,5,5,3,3,4,3,4,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,2,0
20063,4,2,1,1,1,2,24.5,5,5,5,5,4,5,5,5,3,4,4,5,3,4,4,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,0
20062,4,2,1,0,1,3,40,5,5,5,5,5,4,3,3,3,5,4,4,4,5,4,3,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,3,5,5,5,5,5,3,0
20060,4,2,1,1,1,1,26.5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,2,1,5,5,4,5,5,1,4,5,5,5,5,5,5,5,5,5,1,5,1,1,0
20059,4,2,5,0,1,4,36,4,4,5,3,3,4,3,3,3,4,1,5,3,4,1,1,2,4,4,3,2,2,2,2,3,5,3,5,5,3,4,4,3,1,1,3,3,1,0
20058,4,2,1,0,1,3,22,4,4,5,5,5,5,4,4,2,4,4,4,5,5,4,5,4,5,5,5,4,4,5,3,4,4,4,5,5,3,4,4,5,3,2,4,4,3,0
20057,4,2,1,0,1,2,33,3,3,5,5,5,5,4,2,3,5,3,5,2,5,5,5,3,4,5,5,4,5,5,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,0
20055,4,2,5,0,1,1,25,3,3,5,4,3,4,4,3,4,3,4,5,3,4,3,5,3,5,3,5,3,5,4,4,4,4,3,4,4,3,5,4,5,5,3,5,4,3,0
20054,4,2,1,0,1,2,30,3,3,3,4,5,5,4,4,4,4,3,4,4,4,4,4,3,5,5,5,4,5,4,5,5,4,4,5,5,4,4,5,5,5,5,5,4,5,0
20044,4,2,1,1,1,3,25,5,4,5,5,3,4,4,4,4,5,3,5,5,3,5,5,3,5,5,5,4,3,3,5,5,5,3,5,5,3,4,3,5,5,5,5,4,5,0
20043,4,2,5,1,1,1,39.4,5,5,5,5,5,5,5,5,1,5,4,5,5,4,5,5,3,5,5,5,2,4,4,2,5,5,5,5,5,1,5,5,1,1,5,5,4,1,0
20042,4,2,1,1,1,3,30,5,5,5,5,5,5,4,4,1,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,2,5,5,5,4,4,5,5,5,0
20040,4,2,1,1,1,1,30,4,5,4,5,4,5,2,3,1,5,1,4,2,3,4,4,2,3,3,3,4,4,3,3,5,5,5,5,3,2,4,4,1,1,1,5,4,4,0
20040,8,2,1,1,1,2,50,5,5,5,5,3,4,4,4,3,5,4,4,4,3,4,3,3,5,3,5,3,5,5,4,3,4,4,5,5,4,5,4,5,4,2,5,3,1,0
20019,4,2,2,0,1,2,35,5,5,5,5,5,5,4,4,4,5,4,5,4,4,4,4,4,5,5,5,4,5,5,4,4,3,5,4,4,4,5,5,5,5,3,5,4,1,0
20019,8,2,2,0,1,2.5,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,3,5,4,5,0
20018,8,2,1,0,1,1,52.1,3,5,5,5,5,5,4,4,4,5,5,3,4,5,5,5,4,5,5,5,4,5,4,5,5,4,5,4,4,3,5,4,5,5,5,5,3,5,0
20018,4,2,1,0,1,1,28.8,5,5,5,5,5,5,4,4,1,5,4,5,4,4,4,4,5,5,5,5,3,5,5,5,3,3,5,5,5,3,5,3,5,5,4,5,3,5,0
